project_title,recipients,ad_sector_names,transactions_start_year,total_commitments
DR Congo Private Sector Development and Competitiveness Project,Democratic Republic of Congo,Communications|Banking and financial services|Transport and storage|Mineral resources and mining|Other social infrastructure and services,2003,144505503.372
Economic Recovery Credit,Cote D'Ivoire,"Education, level unspecified|Industry|Health|Government and civil society, general|Agriculture",2002,245907327.463
Integrated Public Financial Management Reform,Sierra Leone,"Banking and financial services|Government and civil society, general",2009,4139858.92396
Tunisia Information and Communication Technologies Sector Development Project,Tunisia,"Education, level unspecified|Government and civil society, general|Communications",2004,15378318.6438
Tanzania Health Sector Development Project II - Additional Financing FY10,Tanzania,"Banking and financial services|Health|Government and civil society, general",2009,41398589.2396
TZ Science & Technology for Higher Education Additional Financing,Tanzania,Post-secondary education,2014,15000000.0
Poverty Reduction Support Credit I,Madagascar,"Agriculture, forestry, fishing|Health|Government and civil society, general|Education, level unspecified",2004,146404404.454
Governance and Institutional Development Project II,Madagascar,"Government and civil society, general",2008,41759432.2003
Health Sector Reconstruction and Development Project,Sierra Leone,"Water supply and sanitation|Health|Government and civil society, general",2003,24084250.5619
Irrigation Development and Support Project,Zambia,"Agriculture, forestry, fishing|Industry|Agriculture",2011,115000000.0
ERIPTA Second Supplementary Credit,Zambia,"Government and civil society, general|Mineral resources and mining",2003,12042125.281
LR-Urban and Rural Infrastructure Rehabilitation Project,Liberia,Transport and storage,2009,45538448.1635
Small Towns Water Supply and Sanitation Program Pilot Project,Nigeria,"Water supply and sanitation|Industry|Government and civil society, general",2000,6388391.48518
Second Poverty Reduction Support Credit,Tanzania,"Agriculture, forestry, fishing|Industry|Trade policy and regulations|Government and civil society, general",2004,175685285.344
"Second Phase Community Based Rural Development Project,",Burkina Faso,"Water supply and sanitation|Agriculture, forestry, fishing|Other social infrastructure and services|Government and civil society, general|Basic education",2007,78968375.9187
TN-Urban Dev. and Local Governance,Tunisia,"Water supply and sanitation|Government and civil society, general",2014,300000000.0
Land Administration Project - 2,Ghana,Agriculture,2011,50000000.0
"Micro, Small, and Medium Enterprise Competitiveness Project",Kenya,"Banking and financial services|Government and civil society, general|Secondary education",2004,25767175.1838
Electricity Sector Development Project,Uganda,Energy generation and supply,2011,120000000.0
Lesotho Maternal & Newborn Health PBF,Lesotho,"Health, general|Health",2013,12394966.0903
Agricultural Competitiveness and Diversification Project,Mali,Industry|Agriculture,2013,20658276.8171
LR - Reengagement and Reform Support Program 2,Liberia,"Government and civil society, general",2009,4139858.92396
Tunisia Second Natural Resources Management Project,Tunisia,"Forestry|Agriculture, forestry, fishing|Agriculture",2010,36869564.784
HIV/AIDS MAP Supplemental,Cabo Verde,"Education, level unspecified|Health|Government and civil society, general|Other social infrastructure and services",2006,5490516.42315
MA-Support to ONE (Office National de l'Electricit&#233;),Morocco,Energy generation and supply,2008,156597870.75100002
Management of the Petroleum Economy Project,Chad,"Government and civil society, general",2000,22359370.1981
Public Sector Management Technical Assistance Project,Kenya,"Government and civil society, general",2001,18741666.518
POVERTY REDUCTION SUPPORT CREDIT III,Cabo Verde,"Health, general|Basic education|Government and civil society, general|Energy generation and supply|Other social infrastructure and services",2007,10671402.1512
Rural Community Development Project,Mali,"Water supply and sanitation|Agriculture, forestry, fishing|Industry|Government and civil society, general|Other social infrastructure and services",2005,68015166.3392
Madagascar Fifth Poverty Reduction Strategy Credit,Madagascar,"Water supply and sanitation|Education, level unspecified|Health|Government and civil society, general",2008,52199290.2504
Transport Technical Assistance Project,Algeria,Transport and storage,2001,10895155.4691
Sixth Poverty Reduction Support Credit,Ghana,"Forestry|Water supply and sanitation|Health|Government and civil society, general|Basic education",2008,104398580.501
Renewable Energy Integration,Turkey,Energy generation and supply,2014,300000000.0
Local Infrastructure Development Project,Gabon,"Water supply and sanitation|Other social infrastructure and services|Industry|Transport and storage|Government and civil society, general",2006,27452582.1158
CG Rep. Skills Development for Employability Project,Congo,"Education, level unspecified|Basic education|Secondary education",2013,10329138.4086
Additional Financing for the Agricultural Productivity and Food Security Project,Burkina Faso,"Agriculture, forestry, fishing|Agriculture",2014,35950000.0
BJ- Poverty Reduction Support Grant - PRSC 6,Benin,"Water supply and sanitation|Agriculture|Government and civil society, general|Energy generation and supply",2010,30639527.5213
LS-PFM Reform Support Project,Lesotho,"Communications|Government and civil society, general",2014,5500000.0
Kenya Agricultural Productivity and Agribusiness Project,Kenya,"Agriculture, forestry, fishing|Industry|Agriculture|Energy generation and supply",2009,84867107.9411
Strengthening Safety Nets Systems - MASAF IV,Malawi,"Other social infrastructure and services|Agriculture, forestry, fishing|Basic education",2013,33879573.9801
Third Reengagement and Reform Support Program,Liberia,"Government and civil society, general",2010,11234493.4245
MW-PRSC-1,Malawi,"Agriculture, forestry, fishing|Industry|Agriculture|Government and civil society, general",2007,21342804.3023
"South Sudan- Eastern Africa Regional Transport , Trade and Development Facilitation Program (Phase One)",Africa,Communications|Trade policy and regulations|Transport and storage,2014,80000000.0
Agricultural Productivity and Diversification,Benin,Industry|Agriculture,2011,31000000.0
Chad Fifth Structural Adjustment Credit,Chad,"Education, level unspecified|Health|Government and civil society, general|Agriculture, forestry, fishing",2003,48168501.1239
Institutional Reform Credit Project,Rwanda,"Other social infrastructure and services|Government and civil society, general|Education, level unspecified",2002,104510614.172
Trade Reform and Competitiveness Project,Senegal,"Other social infrastructure and services|Government and civil society, general",2000,127767829.704
Additonal Financing for the Regional and Domestic Power Market Project,Africa,"Water supply and sanitation|Energy generation and supply|Government and civil society, general",2011,283000000.0
Project in Support of Restructuring of Health Sector,Turkey,"Health, general|Health",2009,77756900.2392
BJ PRSC 9 Poverty Reduction Support Cdt.,Benin,"Agriculture, forestry, fishing|Transport and storage|Government and civil society, general",2014,20000000.0
National Fertilizer Sector Project - SUPPLEMENTAL CREDIT,Ethiopia,"Industry|Agriculture|Government and civil society, general",2001,54975555.1194
Millennium Science Initiative,Uganda,"Post-secondary education|Industry|Government and civil society, general",2006,32943098.5389
Abidjan-Lagos Trade and Transport Facilitation Project (ALTTFP),Western Africa,Trade policy and regulations|Health|Transport and storage,2010,232860409.162
MZ - Spatial Development Planning Technical Assistance Project,Mozambique,"Agriculture|Energy generation and supply|Trade policy and regulations|Transport and storage|Government and civil society, general",2010,20426351.6809
Dakar Diamniadio Toll Highway,Senegal,"Education, level unspecified|Transport and storage|Government and civil society, general|Other social infrastructure and services",2009,108671296.754
Health Sector Reform Project,Lesotho,"Health, general|Health|Government and civil society, general|Other social infrastructure and services",2000,8304908.93073
First Poverty Reduction Support Credit,Cabo Verde,"Education, level unspecified|Health|Government and civil society, general|Other social infrastructure and services",2005,17003791.5848
Second National Fadama Development Project,Nigeria,Other social infrastructure and services|Agriculture|Transport and storage,2003,120421252.81
CG Rep. Agricultural Development and Rural Roads Rehabilitation Proj.,Congo,"Agriculture|Transport and storage|Government and civil society, general",2007,21342804.3023
Export Finance Intermediation Loan 3 (EFIL 3),Turkey,Banking and financial services|Trade policy and regulations,2005,345743762.22400004
Nutrition and Malaria Control for Child Survival,Ghana,"Health|Government and civil society, general",2007,26678505.3779
Burundi-Fourth Economic Reform Support Grant - ERSG IV,Burundi,"Government and civil society, general|Energy generation and supply",2010,25532939.6011
